#options: 1280x720 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=69 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:59.10 aq:50.81 tex:37986 mv:10219 misc:179 imb:3600 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:61.62 aq:51.00 tex:552 mv:1087 misc:865 imb:20 pmb:152 smb:3428 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:61.62 aq:51.00 tex:45 mv:53 misc:262 imb:0 pmb:6 smb:3594 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:61.62 aq:51.00 tex:14 mv:16 misc:242 imb:0 pmb:2 smb:3598 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:61.62 aq:51.00 tex:24 mv:22 misc:250 imb:0 pmb:3 smb:3597 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:61.52 aq:51.00 tex:507 mv:2055 misc:1334 imb:37 pmb:256 smb:3307 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:61.57 aq:51.00 tex:69 mv:21 misc:286 imb:0 pmb:6 smb:3594 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:61.59 aq:51.00 tex:48 mv:39 misc:265 imb:0 pmb:6 smb:3594 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:61.54 aq:51.00 tex:29 mv:42 misc:265 imb:0 pmb:5 smb:3595 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:61.43 aq:51.00 tex:695 mv:2074 misc:1407 imb:34 pmb:278 smb:3288 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:61.47 aq:51.00 tex:68 mv:18 misc:274 imb:0 pmb:5 smb:3595 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:61.49 aq:51.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:61.45 aq:51.00 tex:0 mv:33 misc:247 imb:0 pmb:3 smb:3597 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:65.22 aq:51.00 tex:0 mv:0 misc:240 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:63.32 aq:51.00 tex:14 mv:5 misc:237 imb:0 pmb:1 smb:3599 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:67.11 aq:51.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:240 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:24 out:21 type:P dur:2 cpbdur:2 q:68.89 aq:51.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
